g id runtime rss-max outputs cpu ctxsw x      error
0 0     5.58  38.228   35448 99%   680 0   4.319392
0 1   699.43 463.484   35448 99% 83839 0 359.416718
0 2   797.84 463.544   35448 99% 83907 0 359.416718
0 3    42.05  80.836   45672 99%  4731 0   9.536882
0 4     4.91  28.856   35448 99%   646 0   5.624335
0 5     8.45  31.212   35448 99%  1069 0   6.403802
0 6   750.11 443.028   35448 99% 80991 0 266.673004
0 7    29.42  70.428   35448 99%  3174 0  11.943727
0 8    20.70  62.288   35448 99%  2225 0  27.964258
0 9     4.57  28.036   35448 99%   570 0   4.485171
0 10   16.17  40.820   35448 99%  1787 0   7.539924
0 11   15.43  39.244   35448 99%  1926 0  13.019772
0 12    8.70  31.424   35448 99%  1333 0   5.094296
0 13   72.81 110.016   35448 99%  7695 0  16.197720
0 14   53.02  98.460   35448 99%  5811 0  21.512548
0 15   13.72  39.248   35448 99%  1574 0  10.426616
0 16   75.99 105.280   35448 99%  8328 0  24.384031
0 17  319.18 242.532   35448 99% 38082 0  57.361217
0 18   14.71  54.168   35448 99%  2103 0  11.866159
0 19  310.85 150.300   35448 99% 39664 0  63.057796
